Pod_name,Job_name,Phase,NodeName
default-gpu-test-1-test-gpu-0,gpu-test-1,Running,k8s21-74
default-gpu-test-1-test-gpu-1,gpu-test-1,Running,k8s21-74
default-gpu-test-1-test-gpu-2,gpu-test-1,Running,k8s20-74
default-gpu-test-1-test-gpu-3,gpu-test-1,Running,k8s21-74
default-gpu-test-1-test-gpu-4,gpu-test-1,Running,k8s21-74
default-gpu-test-1-test-gpu-5,gpu-test-1,Running,k8s20-74
default-gpu-test-1-test-gpu-6,gpu-test-1,Running,k8s21-74
default-gpu-test-1-test-gpu-7,gpu-test-1,Running,k8s21-74
default-gpu-test-1-test-gpu-8,gpu-test-1,Running,k8s20-74
default-gpu-test-1-test-gpu-9,gpu-test-1,Running,k8s21-74
default-gpu-test-2-test-gpu-0,gpu-test-2,Pending,
